id,active,civicAddress,aptNumber,street,city,neighbourhood,province,postalCode,country,listingType,price,livingArea,propertyAre,numOfBedrooms,numOfBathrooms,numOfFloors,yearBuilt,listedDate,propertyType
42,1,22,733,Continental,Montreal,Montréal-Est,Quebec,J6N 9E9,Canada,sale,87245837,2864,3464,10,4,7,2001-01-01,2010-02-28,studio
43,1,53199,618,Sherman,Montreal,L\'Épiphanie,Quebec,E2F 3K3,Canada,sale,56037441,193,2204,5,7,9,1992-01-01,2016-11-14,other
44,1,50,661,Service,Montreal,Oxford,Quebec,W4V 0G6,Canada,rent,4542,1343,5744,3,8,2,1998-01-01,2022-08-08,condominium
45,1,919,180,Village Green,Montreal,Belfast,Quebec,I5I 6J9,Canada,sale,17566406,2166,8414,2,3,3,2008-01-01,2016-08-26,quadruplex
46,1,88586,194,Rowland,Montreal,Okanagan,Quebec,P5V 9Y7,Canada,rent,2715,4687,2026,6,1,7,1941-01-01,2023-02-12,studio
47,1,8411,456,Dwight,Montreal,High Prairie,Quebec,E0F 9L0,Canada,rent,4335,3621,3368,7,3,8,1994-01-01,2011-12-03,condominium
48,1,8,856,Northridge,Montreal,Peachland,Quebec,R5U 1G0,Canada,rent,1316,4762,8278,6,8,4,1983-01-01,2016-11-23,townhouse
49,1,11,459,Porter,Montreal,Adstock,Quebec,V3S 9T4,Canada,rent,5395,4047,2079,3,6,10,2009-01-01,2014-09-28,duplex
50,1,46901,486,Spenser,Montreal,North Bay,Quebec,X5X 7R6,Canada,rent,518,4510,1265,2,1,4,1974-01-01,2012-09-19,studio
51,1,34,969,Susan,Montreal,Aylmer,Quebec,V6H 3R6,Canada,rent,8932,2487,6302,6,6,10,1933-01-01,2015-08-13,single-family
52,1,77751,568,Bellgrove,Montreal,Coaldale,Quebec,U7Q 4H9,Canada,sale,72589860,3164,6274,5,7,2,1964-01-01,2018-08-06,duplex
53,1,9,965,Ludington,Montreal,Morris,Quebec,G0X 3G4,Canada,sale,75280500,3986,2561,1,2,2,1902-01-01,2023-05-03,single-family
54,1,2,976,Bobwhite,Montreal,Bonavista,Quebec,P0P 0J6,Canada,sale,56361691,1515,8546,7,5,9,1931-01-01,2017-04-27,studio
55,1,81,562,Everett,Montreal,Camlachie,Quebec,C7I 7E7,Canada,rent,8141,872,1138,5,3,9,1963-01-01,2019-11-25,townhouse
56,1,945,444,Nevada,Montreal,Biggar,Quebec,F5D 6U1,Canada,sale,53217058,3279,2651,8,3,5,1983-01-01,2021-03-06,other
57,1,8038,973,Truax,Montreal,North Saanich,Quebec,A1W 1S9,Canada,sale,14079855,3864,6068,9,4,6,2016-01-01,2013-01-18,single-family
58,1,531,519,Steensland,Montreal,Penticton,Quebec,W8W 6I5,Canada,sale,30956035,4424,5012,8,9,1,2018-01-01,2015-03-11,studio
59,1,4870,988,Almo,Montreal,Killarney,Quebec,A8Y 4R2,Canada,rent,2805,2263,6503,1,4,6,2019-01-01,2018-04-27,condominium
60,1,529,449,Myrtle,Montreal,Outlook,Quebec,I3T 6V8,Canada,rent,2656,235,7313,2,1,7,1936-01-01,2012-01-22,other
61,1,965,304,Kennedy,Montreal,Mont-Tremblant,Quebec,F5P 1W5,Canada,sale,16434768,1884,8026,10,2,8,1948-01-01,2022-11-22,quadruplex
62,1,5373,893,Mockingbird,Montreal,Saint Andrews,Quebec,O7Z 5C4,Canada,rent,1833,4649,4553,2,7,4,1944-01-01,2020-03-06,triplex
63,1,44,144,Kinsman,Montreal,Sainte-Anne-des-Monts,Quebec,Q7T 9Y2,Canada,rent,1367,892,6472,5,2,9,1909-01-01,2021-01-23,other
64,1,531,840,Basil,Montreal,Revelstoke,Quebec,F2H 8K6,Canada,rent,1351,1945-01-01,5940,10,4,2,1944-01-01,2010-03-07,condominium
65,1,8626,652,Tomscot,Montreal,Torbay,Quebec,K3D 8Z4,Canada,rent,576,2430,4870,5,8,1,1922-01-01,2020-11-20,quadruplex
66,1,701,724,Cherokee,Montreal,Papineauville,Quebec,T0D 4O7,Canada,sale,4034019,2046,5981,10,6,8,1966-01-01,2017-04-02,other
67,1,6454,608,Forster,Montreal,Malartic,Quebec,E2N 7B1,Canada,sale,73168276,3414,2101,5,9,6,1933-01-01,2011-03-14,other
68,1,30,139,Anzinger,Montreal,Cap-Santé,Quebec,M3L 6E2,Canada,rent,6774,1324,9695,8,3,8,1987-01-01,2023-01-22,quadruplex
69,1,699,264,Schurz,Montreal,Harbour Breton,Quebec,G0B 4N8,Canada,sale,77460903,3267,3057,5,9,2,1933-01-01,2018-02-17,duplex
70,1,5482,103,Dennis,Montreal,Sainte-Anne-de-Bellevue,Quebec,X3L 5Y4,Canada,rent,1327,855,9738,1,4,4,1952-01-01,2020-05-18,single-family
71,1,8496,130,3rd,Montreal,Powassan,Quebec,H2U 7S6,Canada,sale,14005961,3855,1674,10,1,5,2013-01-01,2013-08-02,single-family
72,1,2,677,Clemons,Montreal,Plessisville,Quebec,Q8V 5A0,Canada,rent,379,1323,2709,10,7,4,2017-01-01,2018-12-20,triplex
73,1,9,306,Nova,Montreal,La Tuque,Quebec,D4X 0N9,Canada,rent,5590,314,8717,7,8,10,1944-01-01,2010-01-03,studio
74,1,80656,170,Boyd,Montreal,Bonnyville,Quebec,P6M 0V6,Canada,sale,82596633,592,5472,8,2,7,2007-01-01,2022-07-07,quadruplex
75,1,18607,384,Northfield,Montreal,Kugluktuk,Quebec,G1C 3R6,Canada,sale,35687524,1506,5409,5,9,8,1975-01-01,2010-03-29,quadruplex
76,1,8,661,Barnett,Montreal,Amqui,Quebec,K0Y 7W5,Canada,rent,2726,1297,6579,6,7,2,2022-01-01,2012-01-21,single-family
77,1,76,264,Merrick,Montreal,Saint-Sauveur,Quebec,I5S 2Y0,Canada,rent,9047,2331,5399,6,10,1,1993-01-01,2016-08-22,other
78,1,0,652,Warbler,Montreal,Smithers,Quebec,C4N 6L0,Canada,rent,927,3334,5217,5,10,8,1923-01-01,2022-03-08,single-family
79,1,639,164,Mendota,Montreal,Amherst,Quebec,Q2B 0X5,Canada,sale,46294253,4623,2066,5,3,1,1912-01-01,2010-10-09,studio
80,1,78,501,Pond,Montreal,Lacolle,Quebec,S5K 6K5,Canada,sale,90961964,2911,3497,1,3,7,1936-01-01,2015-12-11,quadruplex
81,1,3,344,Talisman,Montreal,Morinville,Quebec,X0J 2J3,Canada,sale,67064913,3438,8154,2,9,3,1990-01-01,2013-11-27,studio
82,0,42911,302,Bultman,Montreal,Conception Bay South,Quebec,E4E 8Q6,Canada,sale,44573096,1009,7868,3,7,2,1926-01-01,2014-03-10,single-family
83,1,548,822,Brown,Montreal,Anmore,Quebec,M6J 0Z4,Canada,rent,7040,2046,7790,4,10,10,2008-01-01,2011-12-09,condominium
84,1,4772,876,Chinook,Montreal,Grande Prairie,Quebec,G2B 6H1,Canada,rent,5342,1329,7098,9,4,2,1950-01-01,2022-01-20,condominium
85,1,1,617,Cordelia,Montreal,Salaberry-de-Valleyfield,Quebec,F1G 2P0,Canada,sale,80208838,2622,7453,1,8,10,1948-01-01,2016-04-19,triplex
86,1,659,811,Del Mar,Montreal,Neebing,Quebec,M5U 1Q5,Canada,rent,1309,3313,5730,3,10,2,1929-01-01,2021-12-19,duplex
87,1,4,185,Melby,Montreal,Bonavista,Quebec,V2Y 8P1,Canada,sale,47497742,2739,5682,5,8,3,2015-01-01,2019-11-10,triplex
88,1,38453,702,Karstens,Montreal,Altona,Quebec,R7I 6P5,Canada,rent,9968,4839,6555,6,3,7,1957-01-01,2016-05-16,triplex
89,1,87,272,Ilene,Montreal,Barraute,Quebec,O7E 2F8,Canada,rent,3691,3171,8523,8,10,5,1982-01-01,2016-03-15,other
90,1,733,352,Springs,Montreal,Val-d\'Or,Quebec,Z5A 5H0,Canada,rent,4585,4967,2979,7,8,8,2020-01-01,2015-03-19,townhouse
91,1,886,871,Maywood,Montreal,Carleton Place,Quebec,E6K 4Q1,Canada,rent,7074,394,8238,7,1,6,2022-01-01,2018-10-13,condominium
92,1,16,207,Granby,Montreal,White Rock,Quebec,E9D 3G5,Canada,rent,3988,4591,7672,1,6,5,1926-01-01,2012-04-30,quadruplex
93,1,3,163,Westend,Montreal,Vanderhoof,Quebec,L4O 7P6,Canada,rent,5602,1967-01-01,6848,3,6,4,1915-01-01,2011-03-14,triplex
94,1,10,724,1st,Montreal,Concord,Quebec,N6D 1D0,Canada,rent,8871,3276,6200,1,6,7,1960-01-01,2016-12-08,condominium
95,1,29883,225,Larry,Montreal,Neuville,Quebec,Z1Y 7K1,Canada,rent,5343,2709,7442,5,7,8,2000-01-01,2022-02-24,condominium
96,1,3972,650,Sherman,Montreal,Port Moody,Quebec,K4G 4M6,Canada,rent,5020,3798,5419,2,4,10,1991-01-01,2014-01-27,other
97,1,8964,332,Parkside,Montreal,Fort Macleod,Quebec,H4B 8S4,Canada,rent,1947-01-01,2365,3112,5,10,3,1948-01-01,2015-02-17,other
98,1,34,648,Forster,Montreal,Killam,Quebec,A1F 3L8,Canada,rent,2512,4989,9345,8,2,9,1995-01-01,2017-12-06,studio
99,1,6221,877,Brown,Montreal,Aylmer,Quebec,R4S 7C4,Canada,sale,84700758,3738,7744,3,1,8,1952-01-01,2010-05-11,duplex
100,0,232,734,Tomscot,Montreal,Merritt,Quebec,W0Z 6K8,Canada,sale,2823926,4603,4616,2,9,4,1909-01-01,2013-08-15,condominium
101,1,79264,242,Maryland,Montreal,Sherbrooke,Quebec,N1P 9M2,Canada,rent,5184,1241,2036,9,2,3,2003-01-01,2010-09-14,duplex
102,1,6,655,Bartelt,Montreal,London,Quebec,B1G 4W7,Canada,sale,16780105,818,6320,6,8,6,1993-01-01,2019-03-11,other
103,1,60,985,Amoth,Montreal,Salaberry-de-Valleyfield,Quebec,Z2Z 5G2,Canada,rent,7517,2358,1534,5,6,7,2020-01-01,2012-05-14,quadruplex
104,1,685,602,Sullivan,Montreal,Drummondville,Quebec,H6A 8Q5,Canada,rent,9130,1263,4634,9,10,9,2021-01-01,2022-07-31,quadruplex
105,1,5703,177,Moulton,Montreal,Saint-Bruno,Quebec,D6B 8X4,Canada,sale,41698237,2321,2147,3,1,3,1913-01-01,2010-08-11,single-family
106,1,659,574,Dahle,Montreal,Moosomin,Quebec,J5Q 5O2,Canada,rent,7513,3769,7410,4,7,5,2022-01-01,2017-11-24,single-family
107,1,379,939,Eggendart,Montreal,Spirit River,Quebec,M6J 0M3,Canada,sale,93146354,2751,3519,7,10,1,1960-01-01,2021-09-02,townhouse
108,1,563,492,International,Montreal,Stettler,Quebec,F8V 0G1,Canada,sale,56197305,4195,4401,10,9,8,1936-01-01,2012-05-05,duplex
109,1,4,709,Montana,Montreal,Virden,Quebec,X9Z 9H4,Canada,rent,9751,3304,4813,4,3,9,1912-01-01,2016-05-04,triplex
110,1,66,553,Susan,Montreal,Bowen Island,Quebec,G7D 5H2,Canada,sale,26395760,2559,3823,3,9,10,1949-01-01,2016-01-20,single-family
111,1,1,318,Morrow,Montreal,Delson,Quebec,N6L 4P0,Canada,rent,1730,2185,5635,4,6,2,2014-01-01,2017-06-18,duplex
112,1,587,779,Hudson,Montreal,Papineauville,Quebec,S2O 3A1,Canada,sale,84064667,907,7352,3,2,7,1946-01-01,2016-10-30,duplex
113,1,8,956,Namekagon,Montreal,Acton Vale,Quebec,N0X 3Q7,Canada,sale,29843729,2813,9674,1,6,2,1993-01-01,2020-05-15,triplex
114,1,617,976,Messerschmidt,Montreal,High Prairie,Quebec,C2P 0I2,Canada,rent,4633,1922-01-01,2837,6,9,10,1929-01-01,2017-05-28,single-family
115,1,83961,817,Grasskamp,Montreal,Watrous,Quebec,U1Q 4F9,Canada,sale,44708975,2315,1540,3,6,9,1914-01-01,2019-03-16,single-family
116,1,42,810,Kinsman,Montreal,Waterloo,Quebec,A2G 0B1,Canada,rent,9352,912,4525,9,9,2,1961-01-01,2019-02-22,studio
117,1,8882,446,Superior,Montreal,Notre-Dame-des-Prairies,Quebec,H4Y 0R6,Canada,sale,64901313,1776,9137,9,7,8,1971-01-01,2010-12-25,single-family
118,1,72131,974,Sloan,Montreal,Digby,Quebec,D6V 8D3,Canada,rent,2700,4445,6175,7,2,3,1959-01-01,2019-05-31,studio
119,1,9,805,Barby,Montreal,L\'Île-Perrot,Quebec,Y2K 3Y3,Canada,rent,6410,1881,3937,6,1,9,1915-01-01,2022-01-28,triplex
120,0,84,299,Green Ridge,Montreal,Taber,Quebec,Z6R 2B3,Canada,rent,4339,4854,5676,8,9,6,2022-01-01,2012-06-09,duplex
121,1,6296,536,Ilene,Montreal,Armstrong,Quebec,L5S 9C3,Canada,rent,6754,2748,7083,7,4,9,1979-01-01,2018-08-02,condominium
122,0,524,388,West,Montreal,Fermont,Quebec,V5Y 2O6,Canada,sale,21391030,2538,5279,7,9,4,1952-01-01,2022-07-12,other
123,1,8,321,Johnson,Montreal,Nanaimo,Quebec,B2V 3L5,Canada,sale,17317655,4847,5222,8,2,2,1980-01-01,2021-07-13,triplex
124,1,534,747,Roth,Montreal,Midland,Quebec,I7W 8N1,Canada,sale,68940631,1996-01-01,5677,2,5,3,1964-01-01,2014-04-09,quadruplex
125,1,60005,280,Surrey,Montreal,Beauceville,Quebec,F8Y 2Q1,Canada,sale,32430456,1423,9612,8,7,10,2003-01-01,2017-10-17,other
126,1,3650,824,Sunnyside,Montreal,Sutton,Quebec,Q8U 7L7,Canada,sale,59421820,4483,7075,4,3,6,1964-01-01,2019-04-13,condominium
127,0,0,159,Shelley,Montreal,Mascouche,Quebec,X7M 9C2,Canada,rent,8314,4281,1577,9,7,9,1997-01-01,2021-07-02,other
128,1,3013,185,Waubesa,Montreal,Otterburn Park,Quebec,P4L 2J6,Canada,sale,31241420,2670,5265,4,4,1,1913-01-01,2011-07-16,other
129,1,21,399,Pond,Montreal,Saskatoon,Quebec,B4V 3O0,Canada,rent,7466,824,2740,1,8,6,1916-01-01,2016-11-19,other
130,1,33530,709,Eliot,Montreal,Sicamous,Quebec,L8L 6V8,Canada,rent,6141,4178,2766,4,1,4,1938-01-01,2023-02-28,quadruplex
131,1,3,301,Towne,Montreal,Chilliwack,Quebec,L5E 5C5,Canada,rent,2497,4909,2497,6,9,4,1968-01-01,2023-03-22,other
132,1,2060,220,Rigney,Montreal,Summerside,Quebec,V1B 5B0,Canada,sale,96621066,1428,9731,10,7,9,2019-01-01,2019-01-18,studio
133,1,0,314,Everett,Montreal,Thessalon,Quebec,L1K 4E3,Canada,rent,9224,170,1268,6,7,8,1938-01-01,2018-08-05,other
134,1,18,625,Golf,Montreal,Bells Corners,Quebec,V0U 1N8,Canada,sale,28003421,1964-01-01,6723,10,10,2,1937-01-01,2019-06-06,studio
135,0,436,713,Mifflin,Montreal,Oakville,Quebec,R5W 9G0,Canada,sale,35786221,3043,6174,10,2,2,1992-01-01,2015-11-21,single-family
136,1,62,505,Nevada,Montreal,Windsor,Quebec,U0I 6S9,Canada,sale,13370421,3309,6013,4,4,5,1976-01-01,2018-04-28,quadruplex
137,1,44766,273,American,Montreal,Alberton,Quebec,C3M 9W9,Canada,rent,2463,1968-01-01,6346,1,3,3,1927-01-01,2013-03-10,townhouse
138,1,97436,479,Ridge Oak,Montreal,Grande Cache,Quebec,S3Z 7N5,Canada,rent,6199,1922-01-01,9493,6,8,9,1982-01-01,2022-07-04,other
139,1,11,984,New Castle,Montreal,Kensington,Quebec,I2U 7E7,Canada,sale,29061474,4200,8110,10,1,5,1944-01-01,2011-11-17,triplex
140,1,33476,820,Spohn,Montreal,Okanagan,Quebec,Q5R 5O6,Canada,sale,85608872,2674,5884,7,7,1,1996-01-01,2012-04-01,single-family
141,1,163,473,Becker,Montreal,Lloydminster,Quebec,L1A 8J6,Canada,rent,3728,4319,1166,8,7,8,1912-01-01,2015-08-07,duplex
142,1,6409,169,Leroy,Montreal,Mont-Saint-Hilaire,Quebec,U9N 2A0,Canada,rent,6622,1500,5056,7,3,6,1985-01-01,2019-06-18,quadruplex
143,0,213,790,Manley,Montreal,Lunenburg,Quebec,T4M 5P3,Canada,rent,2526,3261,5050,8,9,8,1932-01-01,2019-03-23,quadruplex
144,1,2,455,Algoma,Montreal,Okotoks,Quebec,I0C 0I9,Canada,sale,25057279,1648,4127,2,2,6,1915-01-01,2022-06-11,triplex
145,1,8245,748,Autumn Leaf,Montreal,La Broquerie,Quebec,Z9D 4N1,Canada,rent,8016,3196,6119,8,1,8,1916-01-01,2023-03-17,single-family
146,1,5,834,Messerschmidt,Montreal,Agassiz,Quebec,R7D 1S8,Canada,rent,5840,4287,7297,3,7,2,1937-01-01,2016-11-03,other
147,1,524,589,Acker,Montreal,Trois-Rivières,Quebec,L8U 6B0,Canada,rent,6188,2476,2126,7,10,8,1904-01-01,2014-02-12,quadruplex
148,1,0,206,Anzinger,Montreal,Lunenburg,Quebec,G2C 5H5,Canada,sale,65451840,2931,6094,6,3,8,1920-01-01,2022-06-21,triplex
149,1,1253,960,Cordelia,Montreal,St. Catharines,Quebec,W2U 6V3,Canada,sale,23741814,1258,7767,10,6,7,1918-01-01,2011-06-05,other
150,1,84,452,Shelley,Montreal,Val-d\'Or,Quebec,G0O 2Q7,Canada,rent,7583,1746,2839,9,4,10,1939-01-01,2012-10-19,condominium
151,1,45597,754,Laurel,Montreal,La Broquerie,Quebec,G5B 5D9,Canada,sale,91458190,2913,6560,4,1,2,1978-01-01,2021-11-27,other
152,1,91,789,International,Montreal,Daveluyville,Quebec,J8U 0W4,Canada,sale,28207530,2403,5703,8,3,9,2016-01-01,2016-03-13,triplex
153,1,6,269,Ilene,Montreal,Saint-Bruno-de-Montarville,Quebec,Z1A 0H5,Canada,sale,62128352,3707,8498,4,5,10,1917-01-01,2021-01-16,duplex
154,1,1,930,Hoepker,Montreal,Smoky Lake,Quebec,H4T 5K8,Canada,rent,1647,2248,4076,3,5,6,1936-01-01,2010-07-27,condominium
155,1,8850,258,Kings,Montreal,Kimberley,Quebec,C2R 7Y5,Canada,sale,66526846,3456,8511,8,9,3,1931-01-01,2022-10-29,other
156,0,343,686,Corscot,Montreal,Hanover,Quebec,U6X 9T2,Canada,sale,98876180,3525,3312,9,4,7,1974-01-01,2012-04-17,townhouse
157,1,66,475,Green Ridge,Montreal,White City,Quebec,B8W 3B6,Canada,rent,2502,2527,2363,4,4,6,1963-01-01,2016-02-11,studio
158,1,12,366,Lerdahl,Montreal,Ucluelet,Quebec,V2C 5H5,Canada,sale,81094966,1709,3511,1,10,1,1964-01-01,2020-09-19,triplex
159,1,128,797,Judy,Montreal,Baie-Comeau,Quebec,K7Q 5B5,Canada,rent,3814,3798,3254,6,3,5,2013-01-01,2020-04-04,studio
160,1,2562,513,Dryden,Montreal,Petrolia,Quebec,P6U 0Y8,Canada,sale,13419613,4680,6728,7,2,2,1989-01-01,2011-05-14,quadruplex
161,1,15,437,Lakewood,Montreal,Duncan,Quebec,V2W 2G3,Canada,rent,1916-01-01,1678,4567,5,4,2,2019-01-01,2022-08-04,condominium
162,0,9022,113,Shopko,Montreal,Saint-Félicien,Quebec,G7F 7K8,Canada,sale,20862866,631,3886,4,10,10,1978-01-01,2016-07-26,other
163,1,13434,477,International,Montreal,Peace River,Quebec,O7G 5S7,Canada,sale,47935563,4503,1705,5,6,2,1947-01-01,2021-02-28,single-family
164,1,568,396,Daystar,Montreal,Sparwood,Quebec,X3I 5I3,Canada,rent,9070,1521,3874,2,6,8,1933-01-01,2014-03-28,other
165,1,0,125,Goodland,Montreal,Alberton,Quebec,O1W 3V3,Canada,rent,819,4598,3054,4,6,5,1961-01-01,2011-03-07,other
166,0,730,500,Schurz,Montreal,Cookshire-Eaton,Quebec,E1J 2H0,Canada,sale,82422478,1031,5765,10,1,10,1906-01-01,2022-02-11,other
167,1,18,524,Northridge,Montreal,Lewisporte,Quebec,B4H 5D0,Canada,sale,93125147,221,6451,7,8,7,1938-01-01,2016-09-10,studio
168,1,69767,873,Norway Maple,Montreal,Maniwaki,Quebec,N2Q 6J5,Canada,sale,52091322,1629,7505,4,10,10,1964-01-01,2010-02-03,triplex
169,1,37771,331,Pepper Wood,Montreal,Saint-Rémi,Quebec,N8F 8Q4,Canada,rent,871,3819,4671,2,3,2,1976-01-01,2010-05-17,condominium
170,1,9211,400,Quincy,Montreal,Burns Lake,Quebec,V0E 0N9,Canada,rent,359,3123,8611,6,7,6,2002-01-01,2020-05-13,quadruplex
171,1,538,653,Hollow Ridge,Montreal,Whitehorse,Quebec,V3S 8Y4,Canada,sale,27135630,827,4901,6,10,1,1917-01-01,2013-11-25,triplex
172,1,1,435,Sherman,Montreal,Kitimat,Quebec,H1U 2M3,Canada,sale,78842703,3066,3728,9,5,5,1931-01-01,2019-05-25,duplex
173,1,39,911,Twin Pines,Montreal,Smithers,Quebec,S2N 7D0,Canada,sale,63912838,3654,2673,3,7,3,1913-01-01,2018-09-19,studio
174,1,52,712,Duke,Montreal,Windsor,Quebec,Y2R 3H6,Canada,sale,78658755,3298,6817,4,5,8,1938-01-01,2018-03-07,triplex
